"Name","State","Notes","User","Tags","Created","Runtime","alpha","lr_Q","lr_V","lr_all","memory_bypass","n_actions","n_obs","n_states","normalize","num_desired_trajectories","random_feature_dim","reset_every","seed","state_dim","trajectory_length","update_state_given_obs","dseed","env_args.cols","env_args.levels","env_args.rows","env_type","batch_size","d_model","eps_M","hidden_size","include_init_state_info","lr_M","max_iter_M","memory_bias","model","n_heads","reg_M","reg_Q","reg_V","loss","sa_accuracy","sa_conf","sa_dist_ratio","test_accuracy","test_conf","train/epoch_ct","train/loss","train/mloss_p_epoch","train/mloss_p_traj","train/step_ct","train/traj_ct","train_acc","train_conf"
"grid_{'rows': 3, 'cols': 3}_sdim_1000_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T06:47:54.000Z","2624","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","66","1000","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7618526245156924","0.10377469630770376","0.9105705492424242","0.6718459745048835","40","1.176336407661438","2.383428803221746","2.2556328773498535","10560","960","0.9047703598484848","0.6691950025407873"
"grid_{'rows': 3, 'cols': 3}_sdim_200_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T06:05:23.000Z","2550","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","66","200","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7640208750963211","0.12996144936580656","0.9172585227272728","0.6786339373073229","40","1.6666299104690552","2.8296097119649253","2.88449105349454","10560","960","0.9138849431818182","0.6767747907491053"
"grid_{'rows': 3, 'cols': 3}_sdim_100_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T05:30:17.000Z","2105","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","66","100","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7862274174888929","0.11626010860325364","0.8980232007575758","0.6912686359472707","40","0.8022884726524353","2.730199095877734","2.791803083636544","10560","960","0.8934067234848485","0.6876325302860371"
"grid_{'rows': 3, 'cols': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T05:22:02.000Z","494","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","66","20","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7382554883758227","0.14549648630239556","0.9084398674242424","0.6389828935911641","40","1.1856904029846191","2.2328805557706137","2.304862520911477","10560","960","0.9083214962121212","0.6401480073131179"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.1_seed_69","finished","-","","","2025-01-23T05:03:39.000Z","195","4","0.1","0.1","0.1","","3","7","7","false","1536","1000","1","69","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.5833333333333334","0.4705725001792113","0.7135434979277141","0.3953006628787879","0.3328663034351462","18","NaN","3.274170777562893","NaN","5016","456","0.4024621212121212","0.33654616204076965"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.08_seed_69","finished","-","","","2025-01-23T04:58:09.000Z","328","4","0.1","0.08","0.1","","3","7","7","false","1536","1000","1","69","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.75","0.5847744224593043","0.7117503813125268","0.4753787878787879","0.3800169980493121","32","NaN","3.873010484106613","NaN","8712","792","0.4738991477272727","0.38007454029437066"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_69","finished","-","","","2025-01-23T04:51:16.000Z","412","4","0.1","0.04","0.1","","3","7","7","false","1536","1000","1","69","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5332471864918867","0.5218188572373984","0.5392400568181818","0.3830851038781537","40","2.618746519088745","2.9642683732690234","3.2904082536697388","10560","960","0.5360440340909091","0.38102124408905613"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.02_seed_69","finished","-","","","2025-01-23T04:44:03.000Z","432","4","0.1","0.02","0.1","","3","7","7","false","1536","1000","1","69","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.6415142863988876","0.49551704562985766","0.6125118371212122","0.4531218495111971","40","2.1197915077209473","2.997240790815064","3.298221468925476","10560","960","0.6123934659090909","0.454706605270732"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.1_seed_68","finished","-","","","2025-01-23T04:39:22.000Z","280","4","0.1","0.1","0.1","","3","7","7","false","1536","1000","1","68","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5781752411276102","0.6621208754147186","0.5339725378787878","0.4190599269308977","22","NaN","3.8717090135270897","NaN","6072","552","0.523733428030303","0.4134622159369383"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.08_seed_68","finished","-","","","2025-01-23T04:35:41.000Z","219","4","0.1","0.08","0.1","","3","7","7","false","1536","1000","1","68","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5810473865518967","0.6511998545559986","0.4973958333333333","0.409629595741094","16","NaN","3.809127934954383","NaN","4488","408","0.5011837121212122","0.41359631188842366"
